,Administrative ID,Violation Name,Violation Date,Violation Location,Joining Date,Original Fine Amount,Black Points,Section_y,Gender,Nationality,Original Revenue,Earned Revenue,Commission,Net Pay,Ov Pmt,Traffic Fines,exp,age,exp_violation,exp_violation_yr,month
0,2223436.0,"1-36 Drive recklessly, or in a way that is dangerous to the public",2023-08-22 01:01:02,DUBAI INT'L AIRPORT,2022-10-26,200,3,Commission Taxi Services      ,M,Nigeria                       ,17029.036,8672.42,3035.347,271.18050000000005,-15920.325,2761.0,12.0,36.0,10.0,0.0,8.0
1,2131299.0,"1-36 Drive recklessly, or in a way that is dangerous to the public",2022-12-31 07:01:02,Investigation Office,2013-10-31,200,3,Commission Taxi Services      ,M,India                         ,17237.044166666667,12910.9,4518.815,4229.224999999999,0.0,129.16666666666666,120.0,40.0,110.0,9.0,12.0
2,2180213.0,"1-27 Drop off the customer at the wrong location or refuse to execute the customer's requests, as long as such request does not harm driver or the vehicle",2022-12-31 07:02:03,Investigation Office,2018-02-04,100,1,Commission Taxi Services      ,M,Pakistan                      ,7090.211666666667,4716.036666666667,1555.6281666666666,1546.1233333333332,-49.995,16.666666666666668,68.0,28.0,58.0,4.0,12.0
3,2201169.0,1-03 Enter into a No Entry Zone,2022-12-31 07:05:06,Investigation Office,2020-09-03,100,1,Commission Taxi Services      ,M,Pakistan                      ,17111.318333333333,11300.800833333333,3535.731333333333,0.0,-965.6700000000001,655.0,37.0,33.0,27.0,2.0,12.0
4,2160921.0,"1-52 Misbehave with or abuse the customers, the public, colleagues or the RTA employees",2022-12-31 07:06:07,Investigation Office,2016-07-10,200,3,Commission Taxi Services      ,M,Ethiopia                      ,13462.875,5411.72,811.7580000000002,2185.005,0.0,165.0,87.0,35.0,77.0,6.0,12.0
5,2161762.0,"1-36 Drive recklessly, or in a way that is dangerous to the public",2022-12-31 07:09:10,Investigation Office,2016-09-04,200,3,Commission Taxi Services      ,M,Pakistan                      ,11855.176666666666,6507.14,1952.142,1310.95,454.79999999999995,293.3333333333333,85.0,48.0,75.0,6.0,12.0
6,2151303.0,1-43 Choose a longer route deliberately to increase the tariff more than 5 AED for the normal tariff of the trip,2022-12-31 07:10:11,Investigation Office,2015-07-13,100,1,Commission Taxi Services      ,M,Pakistan                      ,11851.17909090909,6751.22,1350.244,1351.5227272727273,0.0,445.45454545454544,99.0,32.0,89.0,7.0,12.0
7,2140443.0,1-34 Refuse to pick up or stop to the customer without acceptable excuse,2022-12-31 07:11:12,Investigation Office,2014-04-15,100,2,Commission Taxi Services      ,M,Ethiopia                      ,12434.003333333334,6739.91,1347.982,2594.6058333333335,74.99249999999999,144.16666666666666,114.0,38.0,104.0,8.0,12.0
8,2151588.0,"1-36 Drive recklessly, or in a way that is dangerous to the public",2022-12-31 07:14:15,Investigation Office,2015-08-19,200,3,Commission Taxi Services      ,M,Pakistan                      ,14188.300833333333,10540.21,3162.063,2122.2366666666667,0.0,112.5,98.0,44.0,88.0,7.0,12.0
9,2191712.0,"1-36 Drive recklessly, or in a way that is dangerous to the public",2022-12-31 07:17:18,Investigation Office,2019-11-14,100,2,Commission Taxi Services      ,M,Egypt                         ,9178.295,6163.78,1257.7569999999998,0.0,-219.71,250.0,47.0,29.0,37.0,3.0,12.0
